from,to,weight,type
PATRIOT/JEFF MACE,PATRIOT/JEFF MACE,1275,mention
PATRIOT/JEFF MACE,MISS AMERICA/MADELIN,1267,conversation
MISS AMERICA/MADELIN,MISS AMERICA/MADELIN,672,mention
MISS AMERICA/MADELIN,PATRIOT/JEFF MACE,627,conversation
THING/BENJAMIN J. GR,HUMAN TORCH/JOHNNY S,382,mention
HUMAN TORCH/JOHNNY S,MR. FANTASTIC/REED R,366,conversation
THING/BENJAMIN J. GR,MR. FANTASTIC/REED R,365,mention
HUMAN TORCH/JOHNNY S,THING/BENJAMIN J. GR,362,conversation
MR. FANTASTIC/REED R,INVISIBLE WOMAN/SUE ,362,mention
INVISIBLE WOMAN/SUE ,HUMAN TORCH/JOHNNY S,353,conversation
THING/BENJAMIN J. GR,INVISIBLE WOMAN/SUE ,351,conversation
MR. FANTASTIC/REED R,HUMAN TORCH/JOHNNY S,347,conversation
MR. FANTASTIC/REED R,THING/BENJAMIN J. GR,343,mention
HUMAN TORCH/JOHNNY S,INVISIBLE WOMAN/SUE ,341,conversation
INVISIBLE WOMAN/SUE ,MR. FANTASTIC/REED R,339,conversation
"WATSON-PARKER, MARY ",SPIDER-MAN/PETER PAR,321,mention
INVISIBLE WOMAN/SUE ,THING/BENJAMIN J. GR,317,conversation
SPIDER-MAN/PETER PAR,"WATSON-PARKER, MARY ",295,conversation
"JAMESON, J. JONAH",SPIDER-MAN/PETER PAR,263,conversation
SPIDER-MAN/PETER PAR,"JAMESON, J. JONAH",263,conversation
IRON MAN/TONY STARK ,CAPTAIN AMERICA,226,conversation
CAPTAIN AMERICA,IRON MAN/TONY STARK ,220,mention
SCARLET WITCH/WANDA ,VISION ,218,mention
WASP/JANET VAN DYNE ,ANT-MAN/DR. HENRY J.,211,conversation
VISION ,CAPTAIN AMERICA,205,mention
VISION ,SCARLET WITCH/WANDA ,204,mention
CYCLOPS/SCOTT SUMMER,MARVEL GIRL/JEAN GRE,201,mention
SPIDER-MAN/PETER PAR,"PARKER, MAY",199,mention
WOLVERINE/LOGAN ,STORM/ORORO MUNROE S,198,mention
ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE ,195,conversation
THOR/DR. DONALD BLAK,CAPTAIN AMERICA,195,conversation
WASP/JANET VAN DYNE ,CAPTAIN AMERICA,193,conversation
CAPTAIN AMERICA,THOR/DR. DONALD BLAK,191,conversation
CAPTAIN AMERICA,WASP/JANET VAN DYNE ,191,conversation
STORM/ORORO MUNROE S,WOLVERINE/LOGAN ,191,mention
MARVEL GIRL/JEAN GRE,CYCLOPS/SCOTT SUMMER,189,conversation
SCARLET WITCH/WANDA ,CAPTAIN AMERICA,188,conversation
IRON MAN/TONY STARK ,SCARLET WITCH/WANDA ,187,conversation
CAPTAIN AMERICA,SCARLET WITCH/WANDA ,186,conversation
SCARLET WITCH/WANDA ,IRON MAN/TONY STARK ,185,mention
COLOSSUS II/PETER RA,STORM/ORORO MUNROE S,184,mention
HAWK,CAPTAIN AMERICA,182,conversation
"PARKER, MAY",SPIDER-MAN/PETER PAR,181,mention
CAPTAIN AMERICA,VISION ,180,conversation
"ROBERTSON, JOE",SPIDER-MAN/PETER PAR,180,mention
MARVEL GIRL/JEAN GRE,ICEMAN/ROBERT BOBBY ,179,mention
SPIDER-MAN/PETER PAR,"ROBERTSON, JOE",176,conversation
IRON MAN/TONY STARK ,THOR/DR. DONALD BLAK,175,mention
ICEMAN/ROBERT BOBBY ,ANGEL/WARREN KENNETH,173,conversation